city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,36,1.0
city_115,0.789,Male,No relevent experience,no_enrollment,Graduate,Business Degree,<1,50-99,Pvt Ltd,never,52,1.0
city_176,0.764,Male,Has relevent experience,Part time course,Graduate,STEM,11,50-99,Funded Startup,1,24,1.0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0
city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,2,5000-9999,Pvt Ltd,never,32,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0
city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,100-500,Pvt Ltd,1,132,1.0
city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,STEM,11,<10,Pvt Ltd,1,8,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0
city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0
city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,never,26,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0
city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,10/49,Pvt Ltd,>4,20,1.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,92,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,>4,32,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0
city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0
city_90,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,never,228,1.0
