iter	Logloss
0	0.6776936513
1	0.6659311598
2	0.6555323166
3	0.6481966116
4	0.6415220757
5	0.636254198
6	0.6321819784
7	0.6278685063
8	0.6244086089
9	0.6214146656
10	0.6191053306
11	0.6168939981
12	0.6156396766
13	0.6147852239
14	0.6131971283
15	0.6121058683
16	0.6112082168
17	0.6098073949
18	0.6090393241
19	0.6078101983
20	0.607153107
21	0.6063582172
22	0.605489738
23	0.6050899104
24	0.6042916244
25	0.6036298302
26	0.6031510436
27	0.6026011971
28	0.6019189258
29	0.6011976778
30	0.6007028745
31	0.599939664
32	0.5993180134
33	0.5988149877
34	0.5982642563
35	0.5976181871
36	0.5973005323
37	0.5969774879
38	0.5965825352
39	0.596089354
40	0.5958288157
41	0.5954572976
42	0.5950036559
43	0.5946890862
44	0.5943075814
45	0.5939196131
46	0.5936979171
47	0.5935233975
48	0.5931699589
49	0.5928615351
50	0.5923714685
51	0.5922083032
52	0.592039399
53	0.5917486889
54	0.5914487957
55	0.5912812342
56	0.5910467764
57	0.5907015234
58	0.5903953299
59	0.5901207779
60	0.5898604375
61	0.5895697859
62	0.5894244025
63	0.5890086095
64	0.5887938871
65	0.5886388674
66	0.5883578256
67	0.5881928046
68	0.5879304546
69	0.5877289027
70	0.587441675
71	0.5872300649
72	0.5869657805
73	0.5867487183
74	0.5864916829
75	0.5863489829
76	0.5861107766
77	0.5860118275
78	0.5858507577
79	0.5856821412
80	0.5854981054
81	0.5853959913
82	0.5851418095
83	0.5850540413
84	0.584888291
85	0.5847104646
86	0.5845228475
87	0.5843929538
88	0.5841987214
89	0.584061351
90	0.5837811879
91	0.5836083659
92	0.583442272
93	0.5832547106
94	0.5830303699
95	0.582861833
96	0.5826651942
97	0.5825158113
98	0.5823319088
99	0.5821943815
100	0.5820685779
101	0.5818899972
102	0.5817129255
103	0.5815235797
104	0.5812218104
105	0.5810755952
106	0.5808847994
107	0.5807004377
108	0.5805113176
109	0.5803351773
110	0.5801713763
111	0.5800005303
112	0.5798362464
113	0.5795680074
114	0.5794290903
115	0.5792523297
116	0.5790591512
117	0.578889139
118	0.5787391711
119	0.578560007
120	0.5783906633
121	0.5781803038
122	0.5780194456
123	0.5777813386
124	0.5775133379
125	0.5773880669
126	0.5771336911
127	0.5770248589
128	0.5768791802
129	0.5766466144
130	0.5764081114
131	0.5762709927
132	0.5760843553
133	0.5757863139
134	0.575644455
135	0.5754761962
136	0.5753620167
137	0.5751433574
138	0.5749189135
139	0.5748100604
140	0.5747002927
141	0.5746024865
142	0.5744365902
143	0.5742808198
144	0.5741525214
145	0.5739302716
146	0.5737692621
147	0.5736312297
148	0.5735208224
149	0.5733600181
150	0.5731966205
151	0.573083882
152	0.5729661947
153	0.5727709291
154	0.5725801917
155	0.5723485789
156	0.5722050683
157	0.5720257004
158	0.5718552885
159	0.5716706493
160	0.5715490957
161	0.5714308636
162	0.5712491033
163	0.5711306177
164	0.5710233295
165	0.5708919521
166	0.5707490497
167	0.570638377
168	0.5705523354
169	0.57046498
170	0.5703465878
171	0.5701492418
172	0.5700910088
173	0.5699638516
174	0.5697400929
175	0.5696657184
176	0.5695273352
177	0.5693831459
178	0.5692090566
179	0.5690965993
180	0.569040341
181	0.5689426109
182	0.5688430197
183	0.5686712159
184	0.5685232596
185	0.5683901014
186	0.5682784118
187	0.568191162
188	0.5680132244
189	0.5679261046
190	0.5677490444
191	0.5675218266
192	0.5674122103
193	0.5673318143
194	0.567102569
195	0.566903977
196	0.5667452286
197	0.5666214131
198	0.5665135511
199	0.5664269
