iter	Passed	Remaining
0	148	29596
1	152	15062
2	155	10219
3	159	7800
4	162	6343
5	166	5382
6	170	4690
7	173	4172
8	178	3777
9	181	3450
10	185	3179
11	188	2955
12	193	2782
13	197	2627
14	201	2488
15	205	2364
16	209	2260
17	213	2162
18	217	2075
19	225	2025
20	228	1945
21	231	1873
22	236	1816
23	240	1762
24	243	1706
25	247	1654
26	251	1614
27	255	1571
28	259	1530
29	263	1493
30	267	1459
31	270	1422
32	273	1386
33	277	1354
34	281	1325
35	284	1296
36	287	1267
37	290	1240
38	295	1219
39	298	1194
40	301	1170
41	305	1150
42	311	1137
43	315	1117
44	318	1098
45	323	1083
46	327	1066
47	331	1048
48	334	1031
49	339	1017
50	343	1002
51	347	987
52	350	971
53	355	961
54	359	948
55	364	936
56	367	922
57	372	911
58	375	898
59	379	885
60	383	874
61	388	863
62	391	851
63	394	839
64	399	829
65	403	819
66	407	808
67	410	797
68	415	788
69	419	778
70	421	766
71	425	755
72	428	746
73	432	737
74	436	727
75	439	716
76	442	707
77	447	699
78	450	689
79	453	680
80	456	671
81	461	664
82	465	655
83	468	646
84	471	637
85	476	631
86	479	622
87	482	614
88	485	606
89	490	599
90	494	591
91	497	583
92	500	576
93	505	570
94	509	563
95	513	556
96	518	550
97	522	543
98	526	536
99	529	529
100	533	522
101	537	515
102	541	509
103	546	504
104	551	499
105	555	492
106	559	486
107	563	479
108	567	473
109	571	467
110	574	460
111	577	453
112	582	448
113	585	441
114	588	435
115	592	428
116	597	424
117	601	418
118	605	411
119	609	406
120	613	400
121	617	394
122	620	388
123	623	382
124	628	376
125	631	370
126	634	364
127	638	358
128	642	353
129	646	348
130	650	342
131	653	336
132	657	331
133	661	325
134	664	320
135	667	314
136	671	309
137	675	303
138	678	297
139	682	292
140	685	286
141	690	281
142	693	276
143	697	271
144	701	266
145	705	261
146	709	255
147	712	250
148	716	245
149	720	240
150	723	234
151	727	229
152	731	224
153	735	219
154	740	214
155	744	209
156	748	205
157	753	200
158	757	195
159	761	190
160	765	185
161	769	180
162	773	175
163	777	170
164	780	165
165	784	160
166	788	155
167	791	150
168	795	145
169	798	140
170	802	136
171	806	131
172	809	126
173	813	121
174	817	116
175	821	111
176	824	107
177	827	102
178	832	97
179	835	92
180	839	88
181	842	83
182	846	78
183	850	73
184	853	69
185	857	64
186	862	59
187	867	55
188	870	50
189	874	46
190	878	41
191	881	36
192	885	32
193	888	27
194	893	22
195	897	18
196	900	13
197	905	9
198	909	4
199	912	0
